ID CONTRATO|RUC CONTRATISTA|TIPO PENALIDAD|OBJETO CONTRATO|ENTIDAD CONTRATANTE|FECHA PENALIDAD|DESCRIPCION/MOTIVO|MONTO
2003971|10210011639|Por Mora|Bien|PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL|29/09/20|SE APLICO PENALIDAD AL MONTO MAXIMO (10%) SEGUN CONTRATO|6420
2020679|20603732414|Otra Penalidad|Servicio|INSTITUTO VIAL PROVINCIAL DE LA MUNICIPALIDAD DE AREQUIPA|07/09/20|incumplimiento y  resolucion de  contrato AS 005-2020-IVP/AQP|3132,18
2014210|20381450377|Por Mora|Bien|CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD|22/12/20|CONTRATO  N° 052-2020|112,35
2014042|20440180044|Por Mora|Bien|CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD|17/12/20|CONTRATO N° 032-2020|396,28
2005775|20601049784|Otra Penalidad|Bien|GOBIERNO REGIONAL DE AYACUCHO-AGRICULTURA|20/11/20|PENALIDAD POR RETRAZO|7700
2000378|20490234137|Otra Penalidad|Servicio|ZONA REGISTRAL NRO XIV SEDE AYACUCHO|04/11/20|Por incumplimiento de las otras penalidades del contrato|2445
2011676|20559912191|Otra Penalidad|Servicio|ZONA REGISTRAL N° V SEDE TRUJILLO|18/12/20|Aplicación por otras penalidades|4148,63
2010157|20601701503|Por Mora|Servicio|ZONA REGISTRAL NRO XIV SEDE AYACUCHO|22/12/20|Por incurrir en retraso injustificado en la ejecución de las prestaciones, objeto de contratación.|3017,25
2010157|20601701503|Por Mora|Servicio|ZONA REGISTRAL NRO XIV SEDE AYACUCHO|22/12/20|Retraso injustificado en la ejecución de las prestaciones, objeto de contrato.|997,55
2008571|20545792177|Por Mora|Bien|AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO|01/12/20|Penalidad aplicada por 3 días de atraso |7020
2026259|10181420761|Otra Penalidad|Consultoría de Obra|MUNICIPALIDAD DISTRITAL DE HUARMACA|16/02/21|AUSENCIA INJUSTIFICADA DEL SUPERVISOR (1% DE LA VALORIZACION)|37,72
2021860|20461054511|Por Mora|Bien|POLICÍA NACIONAL DEL PERÚ - X REGIÓN TERRITORIAL CUSCO|31/12/20|El contratista incurrió en 20 días de retraso, se le aplicó el monto máximo de la penalidad por mora correspondiente al 10% del monto contractual|13790
2025221|20496153295|Por Mora|Servicio|GOBIERNO REGIONAL DE CAJAMARCA-EDUCACION CAJAMARCA|28/01/21|cálculo de penalidad en la ejecución de la prestación del contrato N°054-2020-GR.CAJ/DRE|15330,88
2000053|20359742615|Otra Penalidad|Servicio|MINISTERIO DE RELACIONES EXTERIORES|23/03/21|Puestos de seguridad y vigilancia sin cubrir con una demora mayor a dos horas (9) y puestos de seguridad y vigilancia no cuentan con el armamento requerido (9)|1100
2026260|10267226933|Otra Penalidad|Consultoría de Obra|MUNICIPALIDAD DISTRITAL DE HUARMACA|18/01/21|NO PARTICIPACION DEL SUPERVISOR DE OBRA|200
2037092|20144364059|Por Mora|Servicio|PETROLEOS DEL PERU S.A.|16/01/21|SEGUN MEMORANDO JOPT-0374-2021|4300
2025917|20359508779|Por Mora|Bien|ZONA REGISTRAL N° VIII SEDE HUANCAYO|30/12/20|PENALIDAD POR MORA|6604,2
2026051|20498258116|Por Mora|Servicio|MUNICIPALIDAD PROVINCIAL DE ISLAY - MOLLENDO|15/04/21|APLICA LA PENALIDAD POR CAUSAL DE RETRASO INJUSTIFICADO EN LA EJECUCION DE LAS PRESTACIONES |104031,58
